Ticker,Sector,Market Cap,P/E Ratio,Average Return,Volatility
CHOLAHLDNG.NS,Financial Services,315099185152.0,16.15529,0.0037031576324194283,0.025166323328288883
CIGNITITEC.NS,Technology,38570946560.0,28.010508,0.0006129038668711009,0.007813981538311131
CINELINE.NS,Communication Services,3685355008.0,,-0.0007893624190464388,0.026075831624097223
CINEVISTA.NS,Communication Services,1053959936.0,,0.00018758593142561398,0.026164562902726337
CIPLA.NS,Healthcare,1286175850496.0,28.73692,0.0013089997734690242,0.01698751443818875
CLEDUCATE.NS,Consumer Defensive,6205074944.0,43.120296,0.0030074168189298573,0.03421805943064151
CMICABLES.NS,Industrials,77893440.0,,-0.00040753577152755354,0.017168030802607828
COALINDIA.NS,Energy,2613305671680.0,7.24624,-0.00010165970929808505,0.022212147890819038
COCHINSHIP.NS,Industrials,381321936896.0,44.050808,0.0017183414995577827,0.041550878576078636
COFORGE.NS,Technology,530709348352.0,63.69664,0.00493863310834318,0.02055128544423564
COLPAL.NS,Consumer Defensive,780844531712.0,86.21321,0.0003309766423997986,0.015037623536500256
COMPINFO.NS,Technology,244438976.0,0.6819277,-0.0033326515046395618,0.028309260969972414
COMPUSOFT.NS,Consumer Defensive,2462376192.0,66.21277,6.406399332719655e-05,0.03958738077063951
CONCOR.NS,Industrials,504129880064.0,39.531773,-0.001251727544798783,0.02585957548286774
CONFIPET.NS,Energy,25303449600.0,28.601503,-0.0008680763837166273,0.027412677154417017
CONSOFINVT.NS,Financial Services,7097907712.0,12.018063,-0.00019213660795187236,0.023091900784458247
CONTROLPR.NS,Industrials,11493431296.0,22.519587,-0.0016988894209766193,0.018187794057165023
CORALFINAC.NS,Real Estate,2254102016.0,10.39591,0.0034510172970497544,0.041769028171534224
CORDSCABLE.NS,Industrials,2770420480.0,24.889406,0.001898810167184996,0.03615908226330697
COROMANDEL.NS,Basic Materials,515617128448.0,37.734222,0.003094834422701624,0.01791577324890732
COUNCODOS.NS,Real Estate,521454144.0,33.399998,0.0011515200846710296,0.035920829862846546
CREATIVE.NS,Technology,13946452992.0,28.493368,0.002639454181871549,0.034905915996988335
CREATIVEYE.NS,Communication Services,156855120.0,,0.003166954248458549,0.032994409585915124
